År;Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
2023;01 80;STOCKHOLM;SPÅNGA-KISTA FÖRSAMLING;30.66;29.885;17.74;12.08;0.065;0.775
2023;01 80;STOCKHOLM;STOCKHOLMS DOMKYRKOFÖRSAMLING;30.91;29.885;17.74;12.08;0.065;1.025
2023;01 80;STOCKHOLM;VANTÖRS FÖRSAMLING;30.68;29.885;17.74;12.08;0.065;0.795
2023;01 80;STOCKHOLM;VÄLLINGBY FÖRSAMLING;30.68;29.885;17.74;12.08;0.065;0.795
2023;01 80;STOCKHOLM;VÄSTERLEDS FÖRSAMLING;30.64;29.885;17.74;12.08;0.065;0.755
2023;01 80;STOCKHOLM;VÄSTERMALMS FÖRSAMLING;30.58;29.885;17.74;12.08;0.065;0.695
2023;01 80;STOCKHOLM;TYSKA S:TA GERTRUDS FÖRSAMLING;30.66;29.885;17.74;12.08;0.065;0.775
2023;01 80;STOCKHOLM;FINSKA FÖRSAMLINGEN;30.82;29.885;17.74;12.08;0.065;0.935
2023;01 80;STOCKHOLM;HOVFÖRSAMLINGEN;30.685;29.885;17.74;12.08;0.065;0.80
2023;01 81;SÖDERTÄLJE;ENHÖRNA FÖRSAMLING;33.378;32.488;20.15;12.08;0.258;0.89
2023;01 81;SÖDERTÄLJE;HÖLÖ-MÖRKÖ FÖRSAMLING;33.598;32.488;20.15;12.08;0.258;1.11
2023;01 81;SÖDERTÄLJE;SÖDERTÄLJE FÖRSAMLING;33.378;32.488;20.15;12.08;0.258;0.89
2023;01 81;SÖDERTÄLJE;VÅRDINGE FÖRSAMLING;33.558;32.488;20.15;12.08;0.258;1.07
2023;01 81;SÖDERTÄLJE;YTTERJÄRNA FÖRSAMLING;33.558;32.488;20.15;12.08;0.258;1.07
2023;01 81;SÖDERTÄLJE;ÖSTERTÄLJE FÖRSAMLING;33.378;32.488;20.15;12.08;0.258;0.89
2023;01 81;SÖDERTÄLJE;ÖVERJÄRNA FÖRSAMLING;33.558;32.488;20.15;12.08;0.258;1.07
2023;01 82;NACKA;BOO FÖRSAMLING;31.103;30.318;17.98;12.08;0.258;0.785
2023;01 82;NACKA;NACKA FÖRSAMLING;31.113;30.318;17.98;12.08;0.258;0.795
2023;01 82;NACKA;SALTSJÖBADENS FÖRSAMLING;31.193;30.318;17.98;12.08;0.258;0.875
2023;01 83;SUNDBYBERG;SUNDBYBERGS FÖRSAMLING;32.308;31.588;19.25;12.08;0.258;0.72
2023;01 84;SOLNA;SOLNA FÖRSAMLING;30.393;29.708;17.37;12.08;0.258;0.685
2023;01 86;LIDINGÖ;LIDINGÖ FÖRSAMLING;30.843;30.178;17.84;12.08;0.258;0.665
2023;01 87;VAXHOLM;VAXHOLMS FÖRSAMLING;32.483;31.638;19.30;12.08;0.258;0.845
2023;01 88;NORRTÄLJE;BLIDÖ FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;EDSBRO-UNUNGE FÖRSAMLING;33.248;32.058;19.72;12.08;0.258;1.19
2023;01 88;NORRTÄLJE;ESTUNA OCH SÖDERBY-KARLS FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;FASTERNA FÖRSAMLING;33.248;32.058;19.72;12.08;0.258;1.19
2023;01 88;NORRTÄLJE;FRÖTUNA FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;GOTTRÖRA FÖRSAMLING;33.248;32.058;19.72;12.08;0.258;1.19
2023;01 88;NORRTÄLJE;HUSBY, SKEDERIDS OCH RÖ FÖRSAMLING;33.248;32.058;19.72;12.08;0.258;1.19
2023;01 88;NORRTÄLJE;HÄVERÖ-EDEBO FÖRSAMLING;33.248;32.058;19.72;12.08;0.258;1.19
2023;01 88;NORRTÄLJE;LOHÄRADS FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;LÄNNA FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;NORRTÄLJE-MALSTA FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;NÄRTUNA FÖRSAMLING;33.248;32.058;19.72;12.08;0.258;1.19
2023;01 88;NORRTÄLJE;RIALA FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;RIMBO FÖRSAMLING;33.248;32.058;19.72;12.08;0.258;1.19
2023;01 88;NORRTÄLJE;ROSLAGSBRO-VÄTÖ FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;RÅDMANSÖ FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 88;NORRTÄLJE;VÄDDÖ FÖRSAMLING;33.118;32.058;19.72;12.08;0.258;1.06
2023;01 91;SIGTUNA;HUSBY-ÄRLINGHUNDRA FÖRSAMLING;33.268;32.338;20.00;12.08;0.258;0.93
2023;01 91;SIGTUNA;NORRSUNDA FÖRSAMLING;33.268;32.338;20.00;12.08;0.258;0.93
2023;01 91;SIGTUNA;SIGTUNA FÖRSAMLING;33.458;32.338;20.00;12.08;0.258;1.12
2023;01 91;SIGTUNA;SKEPPTUNA FÖRSAMLING;33.268;32.338;20.00;12.08;0.258;0.93
2023;01 91;SIGTUNA;VALSTA FÖRSAMLING;33.268;32.338;20.00;12.08;0.258;0.93
2023;01 92;NYNÄSHAMN;NYNÄSHAMNS FÖRSAMLING;33.138;32.188;19.85;12.08;0.258;0.95
2023;01 92;NYNÄSHAMN;SORUNDA FÖRSAMLING;32.978;32.188;19.85;12.08;0.258;0.79
2023;01 92;NYNÄSHAMN;ÖSMO-TORÖ FÖRSAMLING;33.258;32.188;19.85;12.08;0.258;1.07
2023;03 05;HÅBO;HÄGGEBY FÖRSAMLING;34.178;33.058;21.09;11.71;0.258;1.12
2023;03 05;HÅBO;KALMAR-YTTERGRANS FÖRSAMLING;34.178;33.058;21.09;11.71;0.258;1.12
2023;03 05;HÅBO;SKOKLOSTERS FÖRSAMLING;34.178;33.058;21.09;11.71;0.258;1.12
2023;03 05;HÅBO;ÖVERGRANS FÖRSAMLING;34.178;33.058;21.09;11.71;0.258;1.12
2023;03 19;ÄLVKARLEBY;ÄLVKARLEBY-SKUTSKÄRS FÖRSAMLING;35.788;34.658;22.69;11.71;0.258;1.13
2023;03 30;KNIVSTA;ALSIKE FÖRSAMLING;33.908;32.878;20.91;11.71;0.258;1.03
2023;03 30;KNIVSTA;HUSBY-LÅNGHUNDRA FÖRSAMLING;33.908;32.878;20.91;11.71;0.258;1.03
2023;03 30;KNIVSTA;KNIVSTA FÖRSAMLING;33.908;32.878;20.91;11.71;0.258;1.03
2023;03 30;KNIVSTA;LAGGA FÖRSAMLING;33.908;32.878;20.91;11.71;0.258;1.03
2023;03 30;KNIVSTA;VASSUNDA FÖRSAMLING;33.908;32.878;20.91;11.71;0.258;1.03
2023;03 30;KNIVSTA;ÖSTUNA FÖRSAMLING;33.908;32.878;20.91;11.71;0.258;1.03
2023;03 31;HEBY;ENÅKERS FÖRSAMLING;35.708;34.468;22.50;11.71;0.258;1.24
2023;03 31;HEBY;HARBO FÖRSAMLING;35.788;34.468;22.50;11.71;0.258;1.32
2023;03 31;HEBY;HUDDUNGE FÖRSAMLING;35.708;34.468;22.50;11.71;0.258;1.24
2023;03 31;HEBY;NORA FÖRSAMLING;35.768;34.468;22.50;11.71;0.258;1.30
2023;03 31;HEBY;VITTINGE FÖRSAMLING;35.778;34.468;22.50;11.71;0.258;1.31
2023;03 31;HEBY;VÄSTERLÖVSTA FÖRSAMLING;35.708;34.468;22.50;11.71;0.258;1.24
2023;03 31;HEBY;ÖSTERVÅLA FÖRSAMLING;35.788;34.468;22.50;11.71;0.258;1.32
2023;03 60;TIERP;HÅLLNÄS-ÖSTERLÖVSTA FÖRSAMLING;34.678;33.258;21.29;11.71;0.258;1.42
2023;03 60;TIERP;TIERP-SÖDERFORS FÖRSAMLING;34.738;33.258;21.29;11.71;0.258;1.48
2023;03 60;TIERP;TOLFTA FÖRSAMLING;34.678;33.258;21.29;11.71;0.258;1.42
2023;03 60;TIERP;VENDEL-TEGELSMORA FÖRSAMLING;34.808;33.258;21.29;11.71;0.258;1.55
2023;03 60;TIERP;VÄSTLANDS FÖRSAMLING;34.678;33.258;21.29;11.71;0.258;1.42
2023;03 80;UPPSALA;ALMUNGE FÖRSAMLING;34.268;33.108;21.14;11.71;0.258;1.16
2023;03 80;UPPSALA;BALINGSTA FÖRSAMLING;34.308;33.108;21.14;11.71;0.258;1.20
2023;03 80;UPPSALA;BJÖRKLINGE FÖRSAMLING;34.328;33.108;21.14;11.71;0.258;1.22
2023;03 80;UPPSALA;BÄLINGEBYGDENS FÖRSAMLING;34.258;33.108;21.14;11.71;0.258;1.15
2023;03 80;UPPSALA;DALBY FÖRSAMLING;34.308;33.108;21.14;11.71;0.258;1.20
2023;03 80;UPPSALA;DANMARK-FUNBO FÖRSAMLING;34.158;33.108;21.14;11.71;0.258;1.05
2023;03 80;UPPSALA;FARINGE FÖRSAMLING;34.268;33.108;21.14;11.71;0.258;1.16
2023;03 80;UPPSALA;GAMLA UPPSALA FÖRSAMLING;34.058;33.108;21.14;11.71;0.258;0.95
2023;03 80;UPPSALA;GOTTSUNDA FÖRSAMLING;34.058;33.108;21.14;11.71;0.258;0.95
2023;03 80;UPPSALA;HAGBY FÖRSAMLING;34.308;33.108;21.14;11.71;0.258;1.20
2023;03 80;UPPSALA;HELGA TREFALDIGHETS FÖRSAMLING;34.058;33.108;21.14;11.71;0.258;0.95
2023;03 80;UPPSALA;KNUTBY-BLADÅKERS FÖRSAMLING;34.268;33.108;21.14;11.71;0.258;1.16
2023;03 80;UPPSALA;LENA FÖRSAMLING;34.208;33.108;21.14;11.71;0.258;1.10
2023;03 80;UPPSALA;NORRA HAGUNDA FÖRSAMLING;34.378;33.108;21.14;11.71;0.258;1.27
2023;03 80;UPPSALA;RAMSTA FÖRSAMLING;34.308;33.108;21.14;11.71;0.258;1.20
2023;03 80;UPPSALA;RASBO-RASBOKILS FÖRSAMLING;34.428;33.108;21.14;11.71;0.258;1.32
2023;03 80;UPPSALA;SKUTTUNGE FÖRSAMLING;34.328;33.108;21.14;11.71;0.258;1.22
2023;03 80;UPPSALA;STAVBY FÖRSAMLING;34.428;33.108;21.14;11.71;0.258;1.32
2023;03 80;UPPSALA;TENSTA FÖRSAMLING;34.208;33.108;21.14;11.71;0.258;1.10
2023;03 80;UPPSALA;TUNA FÖRSAMLING;34.428;33.108;21.14;11.71;0.258;1.32
